id,vehicle_identifier,longitude,latitude,date_time
18673794,EAFP7,-15.41399,28.1500931,2024-10-29 10:39:51
18673795,QLJD0,-15.4155264,28.1485577,2024-10-29 10:39:55
18673796,YIFR2,-15.4018049,27.9224567,2024-10-29 10:39:55
18673797,CYEL8,-15.4243069,28.1435642,2024-10-29 10:39:54
18673912,EAFP7,-15.4161406,28.150425,2024-10-29 10:40:53
18673913,QLJD0,-15.4155521,28.1486073,2024-10-29 10:40:57
18673914,YIFR2,-15.4018049,27.9224319,2024-10-29 10:40:57
18673915,CYEL8,-15.4243069,28.1435394,2024-10-29 10:40:57
18674030,EAFP7,-15.4171648,28.1477623,2024-10-29 10:41:51
18674031,QLJD0,-15.4155521,28.1486073,2024-10-29 10:41:56
18674032,YIFR2,-15.4012413,27.9227142,2024-10-29 10:41:56
18674033,CYEL8,-15.4243069,28.1435394,2024-10-29 10:41:55
18674148,EAFP7,-15.4168577,28.1490688,2024-10-29 10:42:51
18674149,QLJD0,-15.414938,28.1495037,2024-10-29 10:42:55
18674150,YIFR2,-15.4012413,27.9227142,2024-10-29 10:42:55
18674151,CYEL8,-15.4243069,28.1435642,2024-10-29 10:42:55
18674266,EAFP7,-15.4138107,28.1529865,2024-10-29 10:43:52
18674267,QLJD0,-15.4146814,28.1497097,2024-10-29 10:43:55
18674268,YIFR2,-15.3991423,27.9204865,2024-10-29 10:43:55
18674269,CYEL8,-15.4243069,28.1435642,2024-10-29 10:43:55
18674384,EAFP7,-15.4138107,28.1529865,2024-10-29 10:44:52
18674385,QLJD0,-15.4146814,28.1497097,2024-10-29 10:44:55
18674386,YIFR2,-15.3991423,27.9204865,2024-10-29 10:44:55
18674387,CYEL8,-15.4243069,28.1435909,2024-10-29 10:44:55
18674502,EAFP7,-15.413146,28.152729,2024-10-29 10:45:51
18674503,QLJD0,-15.4146299,28.1497345,2024-10-29 10:45:54
18674504,YIFR2,-15.3975039,27.9208965,2024-10-29 10:45:54
18674505,CYEL8,-15.4243069,28.1436157,2024-10-29 10:45:54
18674620,EAFP7,-15.413146,28.152729,2024-10-29 10:46:51
18674621,QLJD0,-15.4146299,28.1497345,2024-10-29 10:46:54
18674622,YIFR2,-15.3978109,27.9227142,2024-10-29 10:46:54
18674623,CYEL8,-15.4243069,28.1436157,2024-10-29 10:46:54
18674738,EAFP7,-15.413146,28.152729,2024-10-29 10:47:51
18674739,QLJD0,-15.4146051,28.1497593,2024-10-29 10:47:54
18674740,YIFR2,-15.3978109,27.9227142,2024-10-29 10:47:54
18674741,CYEL8,-15.4243326,28.1435642,2024-10-29 10:47:54
18674856,EAFP7,-15.413146,28.1527557,2024-10-29 10:48:51
18674857,QLJD0,-15.4146051,28.1497097,2024-10-29 10:48:55
18674858,YIFR2,-15.3975296,27.9245052,2024-10-29 10:48:55
18674859,CYEL8,-15.4243326,28.1435642,2024-10-29 10:48:55
18674974,EAFP7,-15.4131203,28.152729,2024-10-29 10:49:51
18674975,QLJD0,-15.4146051,28.1497097,2024-10-29 10:49:54
18674976,YIFR2,-15.3975296,27.9245052,2024-10-29 10:49:54
18674977,CYEL8,-15.4246397,28.144537,2024-10-29 10:49:54
18675092,EAFP7,-15.4131203,28.152729,2024-10-29 10:50:51
18675093,QLJD0,-15.414835,28.1496067,2024-10-29 10:50:55
18675094,YIFR2,-15.3971205,27.9256325,2024-10-29 10:50:55
18675095,CYEL8,-15.4219265,28.1475067,2024-10-29 10:50:55
18675210,EAFP7,-15.4130945,28.152729,2024-10-29 10:51:51
18675211,QLJD0,-15.4158592,28.1475334,2024-10-29 10:51:54
18675212,YIFR2,-15.3957376,27.9287815,2024-10-29 10:51:54
18675213,CYEL8,-15.4163713,28.1438713,2024-10-29 10:51:54
18675328,EAFP7,-15.4130945,28.152729,2024-10-29 10:52:51
18675329,QLJD0,-15.4158592,28.1475334,2024-10-29 10:52:54
18675330,YIFR2,-15.3924093,27.9362297,2024-10-29 10:52:54
18675331,CYEL8,-15.4156542,28.142004,2024-10-29 10:52:54
18675446,EAFP7,-15.4130945,28.152729,2024-10-29 10:53:51
18675447,QLJD0,-15.415782,28.1449223,2024-10-29 10:53:55
18675448,YIFR2,-15.3924093,27.9362297,2024-10-29 10:53:55
18675449,CYEL8,-15.4156542,28.142004,2024-10-29 10:53:55
18675564,EAFP7,-15.4130945,28.152729,2024-10-29 10:54:51
18675565,QLJD0,-15.415782,28.1449223,2024-10-29 10:54:55
